State,Business_Rank_2026,Rank_Status,Tooltip_Business_Text,Source
Alabama,,Not yet verified,CNBC 2026 Business Rank: verification pending,https://www.cnbc.com/2026/07/09/americas-top-states-for-business-full-rankings.html
Alaska,,Not yet verified,CNBC 2026 Business Rank: verification pending,https://www.cnbc.com/2026/07/09/americas-top-states-for-business-full-rankings.html
Arizona,,Not yet verified,CNBC 2026 Business Rank: verification pending,https://www.cnbc.com/2026/07/09/americas-top-states-for-business-full-rankings.html
Arkansas,28,Verified,CNBC 2026 Business Rank: #28,https://www.cnbc.com/2026/07/09/americas-top-states-for-business-full-rankings.html
California,,Not yet verified,CNBC 2026 Business Rank: verification pending,https://www.cnbc.com/2026/07/09/americas-top-states-for-business-full-rankings.html
Colorado,25,Verified,CNBC 2026 Business Rank: #25,https://www.cnbc.com/2026/07/09/americas-top-states-for-business-full-rankings.html
Connecticut,23,Verified,CNBC 2026 Business Rank: #23,https://www.cnbc.com/2026/07/09/americas-top-states-for-business-full-rankings.html
Delaware,,Not yet verified,CNBC 2026 Business Rank: verification pending,https://www.cnbc.com/2026/07/09/americas-top-states-for-business-full-rankings.html
Florida,8,Verified,CNBC 2026 Business Rank: #8,https://www.cnbc.com/2026/07/09/americas-top-states-for-business-full-rankings.html
Georgia,7,Verified,CNBC 2026 Business Rank: #7,https://www.cnbc.com/2026/07/09/americas-top-states-for-business-full-rankings.html
Hawaii,50,Verified,CNBC 2026 Business Rank: #50,https://www.cnbc.com/2026/07/09/americas-top-states-for-business-full-rankings.html
Idaho,,Not yet verified,CNBC 2026 Business Rank: verification pending,https://www.cnbc.com/2026/07/09/americas-top-states-for-business-full-rankings.html
Illinois,12,Verified,CNBC 2026 Business Rank: #12,https://www.cnbc.com/2026/07/09/americas-top-states-for-business-full-rankings.html
Indiana,10,Verified,CNBC 2026 Business Rank: #10,https://www.cnbc.com/2026/07/09/americas-top-states-for-business-full-rankings.html
Iowa,,Not yet verified,CNBC 2026 Business Rank: verification pending,https://www.cnbc.com/2026/07/09/americas-top-states-for-business-full-rankings.html
Kansas,,Not yet verified,CNBC 2026 Business Rank: verification pending,https://www.cnbc.com/2026/07/09/americas-top-states-for-business-full-rankings.html
Kentucky,,Not yet verified,CNBC 2026 Business Rank: verification pending,https://www.cnbc.com/2026/07/09/americas-top-states-for-business-full-rankings.html
Louisiana,,Not yet verified,CNBC 2026 Business Rank: verification pending,https://www.cnbc.com/2026/07/09/americas-top-states-for-business-full-rankings.html
